Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,50_MA,200_MA
2021-01-06 00:00:00+05:30,892.0406912706715,892.0860596802926,864.4750016138405,868.6041870117188,46401468,0.0,0.0,897.0220275878906,834.539419555664
2021-01-07 00:00:00+05:30,871.4401774405759,882.5572387023261,864.4750460058456,867.1975708007812,32325918,0.0,0.0,895.9026098632812,836.5968566894531
2021-01-08 00:00:00+05:30,870.3057678054777,879.562423916303,867.6286114818707,877.4297485351562,27540187,0.0,0.0,895.1970178222656,839.0051725769043
2021-01-11 00:00:00+05:30,879.7438327028582,879.7438327028582,858.7348993613426,860.8902587890625,33307825,0.0,0.0,894.0204272460937,841.1979437255859
2021-01-12 00:00:00+05:30,863.499437243861,889.3635725877892,862.0927764417021,888.0250244140625,41161546,0.0,0.0,893.1360559082032,843.2155908203125
2021-01-13 00:00:00+05:30,890.9743785131836,896.1472175102941,870.5099846014382,879.743896484375,26619458,0.0,0.0,893.6928161621094,845.2277583312988
2021-01-14 00:00:00+05:30,882.5571911284914,892.4944931104748,879.8573506850648,889.6358032226562,21553242,0.0,0.0,894.6928967285156,847.2907284545898
2021-01-15 00:00:00+05:30,889.6358149061263,895.6254052174552,871.235984065055,879.13134765625,20593268,0.0,0.0,894.9129699707031,849.3798547363281
2021-01-18 00:00:00+05:30,884.4175467319313,906.152494319966,872.733321590047,900.23095703125,35100458,0.0,0.0,895.1756945800781,851.3880227661133
2021-01-19 00:00:00+05:30,905.0861950992372,921.580252224851,905.0861950992372,914.9554443359376,32006615,0.0,0.0,895.0599877929687,853.5443510437012
2021-01-20 00:00:00+05:30,917.2242091989916,933.8316870635216,908.1490272951702,932.3342895507812,30924537,0.0,0.0,895.0962878417969,855.7942889404297
2021-01-21 00:00:00+05:30,944.7218849560628,961.9646412797553,941.5456161648626,952.6172485351562,39087742,0.0,0.0,895.2310546875,857.8576748657226
2021-01-22 00:00:00+05:30,957.8807850436316,959.854670865947,923.4633264201752,930.0201416015624,30532660,0.0,0.0,895.7065930175781,859.8393005371094
2021-01-25 00:00:00+05:30,923.3726510862272,923.3726510862272,876.6583703700487,880.7421875,54207104,0.0,0.0,895.3526635742187,861.5123095703125
2021-01-27 00:00:00+05:30,873.4820669624743,873.4820669624743,856.693054983379,859.8693237304688,42370131,0.0,0.0,894.4324462890625,863.1498965454101
2021-01-28 00:00:00+05:30,853.1310002755617,872.7106487309984,848.5253867738562,851.4974975585938,34067814,0.0,0.0,893.2912487792969,864.833592224121
2021-01-29 00:00:00+05:30,859.5516895386352,868.0823308084464,830.3751212668369,835.7975463867188,43712383,0.0,0.0,891.9181811523438,866.3980499267578
2021-02-01 00:00:00+05:30,843.7155936200605,864.4068890198276,838.5427547673378,860.0054931640625,34180952,0.0,0.0,891.0841772460938,867.958310546875
2021-02-02 00:00:00+05:30,868.6042012207391,880.2884272341356,841.6964130743675,873.8450927734375,41470034,0.0,0.0,890.6544714355468,869.5434490966796
2021-02-03 00:00:00+05:30,874.9794997051555,885.7334934772376,862.1381389387969,876.0458374023438,30301696,0.0,0.0,890.9371630859375,871.154028930664
2021-02-04 00:00:00+05:30,873.028202445874,880.2883476702843,864.4068250002261,873.1643676757812,25626981,0.0,0.0,890.697578125,872.4676068115234
2021-02-05 00:00:00+05:30,875.77348464956,882.3983522664478,871.2132396162493,872.914794921875,20248046,0.0,0.0,890.3318493652343,873.7635968017578
2021-02-08 00:00:00+05:30,877.1347195562724,893.4473023986224,875.319743227724,885.48388671875,21183400,0.0,0.0,890.3649743652344,875.0192431640625
2021-02-09 00:00:00+05:30,890.248425072391,902.7947710664894,885.8696532824605,887.6165771484375,19604141,0.0,0.0,890.3971923828125,876.2570141601562
2021-02-10 00:00:00+05:30,886.5275854832487,900.5940128160682,874.5256608236872,895.8522338867188,21234156,0.0,0.0,890.8010363769531,877.5395443725586
2021-02-11 00:00:00+05:30,898.4386192474516,936.644999679496,894.9220275503199,932.7880249023438,42539278,0.0,0.0,891.715810546875,879.0094396972656
2021-02-12 00:00:00+05:30,932.6973661062262,942.9068789938598,914.5016925500304,926.39013671875,30497029,0.0,0.0,892.4731323242188,880.3599374389648
2021-02-15 00:00:00+05:30,929.3168953579432,935.3291701631192,918.8577960157704,922.3063354492188,15791099,0.0,0.0,893.095234375,881.7589581298828
2021-02-16 00:00:00+05:30,925.5506282685618,943.5420825464574,923.3952688251794,934.5123291015624,21421660,0.0,0.0,894.1184558105468,883.1620422363281
2021-02-17 00:00:00+05:30,934.7391673763497,951.051750450664,930.4738769258156,945.2890625,23742994,0.0,0.0,895.2533020019531,884.6187857055664
2021-02-18 00:00:00+05:30,946.0832107788668,956.7010994134374,934.3308718088686,938.2332153320312,18646877,0.0,0.0,895.9244116210938,885.9368374633789
2021-02-19 00:00:00+05:30,933.377980655979,955.1356138773004,931.699049431815,943.9505004882812,23403483,0.0,0.0,896.4085705566406,887.1607006835937
2021-02-22 00:00:00+05:30,943.8143760614016,948.3065686896232,905.2223630290548,911.189208984375,23804335,0.0,0.0,896.4185522460938,888.1871813964843
2021-02-23 00:00:00+05:30,929.2941021521748,931.5175141598824,913.6848496912612,918.1543579101562,25644108,0.0,0.0,896.5787268066406,889.4668414306641
2021-02-24 00:00:00+05:30,921.126506013728,937.121450593631,919.3795222193552,935.1929931640624,10807663,0.0,0.0,897.2112646484375,890.761443786621
2021-02-25 00:00:00+05:30,941.999381980556,976.4848954225084,940.6380896037484,973.013671875,34855693,0.0,0.0,898.7540380859375,892.3818545532226
2021-02-26 00:00:00+05:30,960.603329133328,968.2717900140022,939.5943364001932,946.4461059570312,37481215,0.0,0.0,899.7454956054687,893.8164401245117
2021-03-01 00:00:00+05:30,957.517742299894,958.3345536501424,935.8735317573796,953.6608276367188,17680764,0.0,0.0,900.7991186523437,895.329241027832
2021-03-02 00:00:00+05:30,962.8720835047728,966.5020960077604,947.9434778030228,955.6119384765624,17150760,0.0,0.0,901.8377661132813,896.9237652587891
2021-03-03 00:00:00+05:30,962.4411022383866,1007.294975613942,956.1565574386228,999.2180786132812,31924461,0.0,0.0,904.2190832519532,898.6802822875976
2021-03-04 00:00:00+05:30,989.1900348093156,993.704911588948,979.0712594125844,987.3069458007812,21435754,0.0,0.0,906.3894030761719,900.3601837158203
2021-03-05 00:00:00+05:30,978.299969713821,1003.6876774486032,976.9613614908402,988.6002197265624,25511666,0.0,0.0,908.5207006835938,902.068469543457
2021-03-08 00:00:00+05:30,983.9718052062778,1012.7399963974048,983.7449631689371,994.2267456054688,19506841,0.0,0.0,910.3080480957032,903.8218353271484
2021-03-09 00:00:00+05:30,998.2651732779406,1004.5270339441004,974.0346020243684,994.2040405273438,15154484,0.0,0.0,912.011904296875,905.5265060424805
2021-03-10 00:00:00+05:30,1001.4415374012098,1005.1169787918566,984.7659459107292,990.0748901367188,11519358,0.0,0.0,913.7534228515625,907.1502001953126
2021-03-12 00:00:00+05:30,995.9963512223368,1001.1691898173568,963.7342526311852,969.9507446289062,16864952,0.0,0.0,915.0430004882812,908.6910110473633
2021-03-15 00:00:00+05:30,971.0625188240766,975.0782232688246,944.0412495306182,956.927978515625,16698099,0.0,0.0,916.1646875,910.0402841186524
2021-03-16 00:00:00+05:30,959.2420699908334,964.6871790969038,950.8475942981532,953.1617431640624,13873801,0.0,0.0,917.191083984375,911.3360418701172
